hotel_name;review_score;review_score_text;review_score_title;hotel_price
Vayassi House Syariah;8.4;8 reviews;;Rp 190,129
Grand Picasso Hotel;7.8;348 reviews;;Rp 395,640
OYO 1941 Aaa Residence Syariah;7.8;24 reviews;;Rp 185,644
favehotel Gatot Subroto Jakarta;7.8;119 reviews;;Rp 413,120
Blossom Resident Blok M;7.9;12 reviews;;Rp 219,726
RedDoorz Plus @ Radio Dalam 2;7.4;20 reviews;;Rp 196,009
OYO 366 Thamadhiro Residence;7.1;29 reviews;;Rp 155,526
Mahakam24 Residence;7.8;12 reviews;;Rp 205,875
Green Bamboo Residence;7.4;38 reviews;;Rp 206,500
K-Style Eco Hotel Jakarta;6.8;21 reviews;;Rp 150,622
RedDoorz Plus near Ancol;7.9;60 reviews;;Rp 133,875
Studio One;7.4;195 reviews;;Rp 225,000
Hotel Cikini;7.7;15 reviews;;Rp 288,000
Topaz Residence;7.9;82 reviews;;Rp 231,000
Maven Buncit;7.1;56 reviews;;Rp 235,000
Hotel Pinangsia;6.1;110 reviews;;Rp 141,075
éL Hotel Royale Jakarta;7.3;173 reviews;;Rp 517,000
Amaris Hotel Pluit;7.1;50 reviews;;Rp 392,000
Inap At Capsule Jakarta;8.1;301 reviews;;Rp 113,443
RedDoorz Plus @ Thamrin;7.8;163 reviews;;Rp 294,408
Neo Hotel Mangga Dua by ASTON;7.0;773 reviews;;Rp 388,531
Capital O 1748 Thamrin Condotel;4.9;14 reviews;;Rp 283,334
V Hotel Tebet;7.9;45 reviews;;Rp 343,200
RedDoorz Plus @ Kelapa Dua Kebon Jeruk;7.0;24 reviews;;Rp 230,153
M Hotel;7.8;84 reviews;;Rp 335,580
RedDoorz near Pancoran;7.5;18 reviews;;Rp 218,373
Saffron Suites Syariah;9.0;4 reviews;;Rp 216,200
Hotel Daily Inn;7.9;47 reviews;;Rp 517,000
Hotel Gran Mahakam;8.7;315 reviews;;Rp 1,579,050
Hotel Zia Sanno Jakarta - Pluit;7.3;12 reviews;;Rp 405,000
OYO Flagship 210 Amethyst Kemayoran;7.3;210 reviews;;Rp 244,397
Amaris Hotel Mampang - Jakarta;8.0;49 reviews;;Rp 395,000
Sawana Suites;8.0;32 reviews;;Rp 548,900
Tujutiga Suites;8.4;65 reviews;;Rp 305,500
OYO 1487 Residence Khoe Near RS Royal Taruma;8.2;24 reviews;;Rp 201,459
Ravarine Suite Apartment;8.0;36 reviews;;Rp 742,365
RedDoorz Plus near Mall Ciputra Jakarta;7.2;39 reviews;;Rp 166,320
RedDoorz Plus near Manggarai Station 3;8.7;8 reviews;;Rp 229,478
Hotel Diradja;7.0;40 reviews;;Rp 405,000
Nest Residence;8.7;29 reviews;;Rp 175,780
Wisma Talenta;7.9;4 reviews;;Rp 138,253
OYO 148 Cempaka Place Homestay;7.7;165 reviews;;Rp 160,235
LeGreen Suite Penjernihan n Benhil;8.0;13 reviews;;Rp 277,500
OYO 918 Hotel Senen Indah Syariah;7.2;84 reviews;;Rp 214,419
RedDoorz @ Jatiwaringin;7.8;20 reviews;;Rp 194,700
Zodiak MT Haryono by KAGUM Hotels;7.1;9 reviews;;Rp 285,101
Kemang Place Syariah;5.7;4 reviews;;Rp 138,930
108 Hotel by HIM;7.3;26 reviews;;Rp 368,235
Karsa Utama Hotel;7.1;45 reviews;;Rp 182,000
RedDoorz Plus @ Kemayoran;7.4;30 reviews;;Rp 140,648
OYO 3300 Nadjara Residence Syariah;5.4;26 reviews;;Rp 168,815
Good Room at Jakarta;5.9;20 reviews;;Rp 105,750
OYO 115 Portal Residence;8.3;81 reviews;;Rp 194,289
Hotel Cantik Syari;8.4;15 reviews;;Rp 175,861
Dwijaya House of Pakubuwono;9.1;40 reviews;;Rp 827,200
Eightin Jakarta;7.6;105 reviews;;Rp 386,100
Rota International Hotel;5.4;11 reviews;;Rp 260,000
Hotel Gran Mahakam;8.7;315 reviews;;Rp 1,579,050
Hotel Zia Sanno Jakarta - Pluit;7.3;12 reviews;;Rp 405,000
PINX'S HOSTEL;8.4;170 reviews;;Rp 149,900
D'Hotel Jakarta;7.8;115 reviews;;Rp 320,000
OYO 90056 Wisma Kebon Kacang 9;8.0;3 reviews;;Rp 179,965
Paragon Wahid Hasyim;6.0;3 reviews;;Rp 276,667
Veranda Residence at Puri Kembangan by Aparian;8.1;6 reviews;;Rp 750,000
LeGreen Suite Senayan;6.9;16 reviews;;Rp 277,500
Amaris Hotel Mangga Besar;7.1;29 reviews;;Rp 324,000
Sakura Terrace;8.9;19 reviews;;Rp 660,000
Mutiara Suites;6.5;38 reviews;;Rp 430,333
OYO 665 Namora Residence Near Olahraga Nasional Hospital;6.9;46 reviews;;Rp 226,943
Amaris Hotel Tendean;7.2;59 reviews;;Rp 352,500
RedDoorz near Seasons City Mall;8.2;42 reviews;;Rp 200,812
Thamrin Residence 2Bedrooms & 2bathrooms;8.1;20 reviews;;Rp 700,000
RedDoorz Syariah Plus near Pancoran 2;5.3;8 reviews;;Rp 187,031
The Grand Palace Resident;7.8;97 reviews;;Rp 230,000
Plaza 54 Residence;7.8;163 reviews;;Rp 520,520
RedDoorz Plus @ Ampera Raya;6.5;18 reviews;;Rp 235,659
The Baile;8.3;39 reviews;;Rp 512,136
Cordex Hotel Ancol;8.1;24 reviews;;Rp 202,400
An Hotel Satrio Kuningan Jakarta;6.3;97 reviews;;Rp 217,800
RedDoorz near RS Husada;5.8;42 reviews;;Rp 138,600
S7 SUITES GANDARIA;8.6;19 reviews;;Rp 1,151,618
Amaris Hotel Juanda;8.0;69 reviews;;Rp 395,600
RedDoorz near Lippo Mall Puri;6.3;6 reviews;;Rp 182,292
RedDoorz Plus near Senayan City;8.3;42 reviews;;Rp 180,950
COZROOMS near MRT Plaza Indonesia  and Grand Indonesia;8.0;3 reviews;;Rp 120,132
RedDoorz @ Tondano Benhill;;;;Rp 99,000
LeGreen Suite Gatot Subroto;;;;Rp 277,500
Rumanami Residence;;;Good;Rp 423,000
RedDoorz @ Jagakarsa 2;;;;Rp 141,544
Dafam Express Jaksa Jakarta;;;Very good;Rp 310,168
Reddoorz near Gajah Mada Plaza 2;;;;Rp 140,887
Hotel Alamanda;;;;Rp 174,316
LeGreen Suite Supomo;;;Good;Rp 263,340
OYO 1667 Wisma Lux Barkah;;;;Rp 212,267
Collection O 16 Vittoria Residence;;;Good;Rp 353,991
OYO 101 Apple Platinum;;;Very good;Rp 187,734
woodland park kalibata residence by Sang Living;;;Good;Rp 282,000
woodland park kalibata residence by Sang Living;;;Good;Rp 282,000
Sampit Residence Managed by FLAT06;;;Good;Rp 304,560
OYO 2416 Griya Otista Syariah;;;;Rp 150,378
Elani Residence Kenari Syariah;;;Good;Rp 139,986
Puri Inn;;;;Rp 182,526
RedDoorz @ Pavilion Residence Cikarang;;;Good;Rp 167,738
KoolKost @ Mangga Besar;;;;Rp 112,500
Grand Sakinah Syariah Cilincing;;;Fabulous;Rp 190,000
Sans Hotel Puri Indah Jakarta;;;Very good;Rp 312,682
RedDoorz Plus near Mall Slipi Jaya;;;Very good;Rp 517,881
Bobobox Pods Juanda Jakarta;;;Superb;Rp 177,660
Erian Hotel;;;Fabulous;Rp 471,000
favehotel Melawai;;;Good;Rp 566,800
RedDoorz near RSUD Koja;;;Good;Rp 170,813
RedDoorz near RS Cikini Jakarta;;;;Rp 159,390
OYO 3735 Liv Hotel;;;;Rp 179,638
favehotel Pluit Junction;;;Good;Rp 548,100
Amaris Hotel Satrio Kuningan - Jakarta;;;Good;Rp 464,000
RedDoorz Plus near Mall Kelapa Gading;;;Very good;Rp 203,865
OYO 258 Flagship The Enviro Cikarang;;;Good;Rp 275,508
RedDoorz near ITC Cempaka Mas;;;;Rp 166,122
OYO 1421 Kasmaran Residence Syariah;;;Good;Rp 222,905
Rudi Rooms;;;Very good;Rp 131,670
OYO 630 Green Lake View Cimanggis;;;;Rp 204,853
The Dharmawangsa Jakarta;;;Fabulous;Rp 2,206,281
RedDoorz Plus near Plaza Blok M;;;Very good;Rp 239,700
Puri Maju Hotel;;;Very good;Rp 175,637
RedDoorz Plus @ Cideng Timur;;;Good;Rp 188,763
Hotel Tugu Asri;;;;Rp 138,600
Pomelotel;;;Good;Rp 472,500
RedDoorz Plus @ Kwitang 2;;;Good;Rp 182,279
Maven Fatmawati;;;;Rp 425,790
Pondok Malabar;;;Fabulous;Rp 145,530
Royal City Hotel;;;Good;Rp 270,000
Hotel Caravan;;;;Rp 182,250
P Hotel;;;;Rp 337,500
RedDoorz @ Iodium Residence Cikarang;;;Very good;Rp 169,312
Residences by RedDoorz @ Guntur Raya Setiabudi;;;Good;Rp 232,650
Ana Hotel Jakarta;;;Good;Rp 435,330
Rasuna Mansion;;;Good;Rp 490,000
OYO Townhouse 2 Hotel Gunung Sahari Near Rs Hermina Kemayoran;;;Very good;Rp 310,811
RedDoorz @ Jalan Jaksa;;;;Rp 97,020
Sleepy Raccoon Hostel;;;Superb;Rp 222,775
RedDoorz Plus near RS Harapan Kita;;;Good;Rp 127,859
UROOMS Senayan;;;Good;Rp 197,189
OYO 3865 Wisma Niaga;;;Good;Rp 150,644
Hotel Neo+ Kebayoran Jakarta;;;Good;Rp 432,260
RedDoorz Plus @ Tendean;;;Fabulous;Rp 193,050
Oak Tree Urban;;;Good;Rp 485,440
Hotel Alma;;;;Rp 292,411
RedDoorz near Mangga Dua Square;;;;Rp 121,796
Hotel Borobudur kemayoran;;;Good;Rp 142,560
Smart Hotel Thamrin Jakarta;;;;Rp 256,500
Nagomi Suites;;;Superb;Rp 836,352
OYO 947 Angel Home Stay Syariah;;;;Rp 190,678
RedDoorz @ Kebon Kacang;;;Good;Rp 142,725
Putri Duyung Ancol;;;;Rp 1,398,531
LeGreen Home Tebet;;;Good;Rp 262,500
Cipta Hotel Pancoran;;;Good;Rp 445,500
Amaris Hotel Fachrudin – Tanah Abang;;;Very good;Rp 357,000
apartemen puri park view;;;Good;Rp 350,000
Capitol Park Residence salemba-cozy room;;;Exceptional;Rp 320,000
Maple Hotel Grogol;;;Good;Rp 397,800
Puri Mega Hotel;;;;Rp 400,000
All Nite & Day Kebon Jeruk;;;Fabulous;Rp 450,000
RedDoorz @ Tebet Barat 2;;;Very good;Rp 244,282
FLAT06 cipete;;;Fabulous;Rp 349,000
OYO 133 Griya Ciaji;;;Good;Rp 232,421
Ambhara Hotel;;;Good;Rp 1,200,000
RedDoorz Plus @ TB Simatupang;;;Good;Rp 258,300
RedDoorz Plus near Green Pramuka Square Mall;;;Good;Rp 211,916
Konko Hostel Jakarta;;;Very good;Rp 306,000
OYO 150 Harmoni Residence;;;;Rp 163,899
ARCS House Pakubuwono by Jambuluwuk;;;Exceptional;Rp 296,666
RedDoorz @ Cipete Raya;;;;Rp 220,922
Twins Hotel;;;;Rp 314,600
RedDoorz Plus near Jakarta Kota Station;;;;Rp 110,250
Netty Apartemen Puri Park View;;;Good;Rp 350,000
amethyst cengkareng syariah;;;Exceptional;Rp 149,460
RedDoorz @ Jalan Gatot Subroto Jakarta;;;Very good;Rp 190,697
OYO 136 Manggis Inn Near RSU Kecamatan Taman Sari;;;Good;Rp 175,964
RedDoorz @ Ruko ITC Roxy Mas;;;;Rp 133,888
Upscale Suites;;;Very good;Rp 500,000
Bungur Inn Syariah;;;Fabulous;Rp 162,150
Kantos Guest House;;;Good;Rp 164,406
RedDoorz Near Lokasari Mangga Besar 7;;;;Rp 128,205
OYO 989 Audah Residence Syariah;;;Good;Rp 169,134
Konko Hostel Jakarta;;;Very good;Rp 306,000
OYO 1121 Orienchi 2 Near RSUD Sawah Besar;;;Fabulous;Rp 233,356
RedDoorz Plus near Ciputra World Kuningan 2;;;;Rp 155,183
Hotel Gren Alia Cikini;;;Very good;Rp 330,410
OYO 1111 Passer Baroe Inn Near RS Siloam Pasar Baru;;;;Rp 189,000
4 Bed Condo Sleeping by The Sea;;;Superb;Rp 517,000
Urbana Homes;;;Very good;Rp 284,844
ARCS House Menteng by Jambuluwuk;;;Superb;Rp 296,666
RedDoorz Plus near Taman Rasuna Menteng;;;;Rp 162,855
Kyriad Fatmawati Jakarta;;;Very good;Rp 561,314
Mega Anggrek Hotel Jakarta Slipi;;;;Rp 847,000
Green Bay Pluit Apartment - Seaview Studio Fast Wifi;;;Good;Rp 357,200
favehotel LTC Glodok;;;Good;Rp 259,440
Bobobox Pods Kebayoran Baru;;;Fabulous;Rp 177,660
OYO 1519 Axl Residence;;;Very good;Rp 211,395
Hotel Dequr Jakarta Kota;;;;Rp 225,000
RedDoorz @ Permata Sari Karawaci;;;Good;Rp 134,873
RedDoorz Plus near Blok M Square;;;;Rp 222,667
OYO 3894 Karunia Muslim Syariah;;;;Rp 143,706
RedDoorz near Graha Cijantung Mall;;;Good;Rp 207,900
Barito Mansion;;;Fabulous;Rp 736,208
RedDoorz near Tanjung Duren 2;;;Very good;Rp 154,713
OYO 1229 Dc Hotel Pramuka;;;;Rp 219,862
Bobobox Pods Pancoran;;;Very good;Rp 177,660
RedDoorz near Halim Perdanakusuma 3;;;Good;Rp 211,365
RedDoorz near Pasar Baru 3;;;Very good;Rp 140,333
LeGreen Suite Tondano n GBK;;;;Rp 277,500
M Home;;;Very good;Rp 517,000
Puri Mansion Apartment by TH;;;;Rp 271,660
RedDoorz @ Meruya 2;;;Good;Rp 192,833
OYO 266 Margonda Residence 5;;;Good;Rp 198,802
OYO 3109 Point Inn;;;Good;Rp 150,229
RedDoorz near Taman Mini Jakarta;;;;Rp 193,875
Urbanest Inn House TB Simatupang;;;;Rp 306,240
OYO 591 Mn Residence;;;;Rp 131,351
RedDoorz Plus near Cilandak Town Square 2;;;Very good;Rp 255,387
Strategic and Big 94sqm unit only 2 minutes walking to Neo Soho Mall and Central Park Mall with Huge Swimming Pools and Garden;7.2;10 reviews;Good;Rp 1,347,000
Grand Kasira;6.8;61 reviews;;Rp 324,074
OYO Flagship 3563 New Mg Hotel;6.7;76 reviews;;Rp 194,406
Adaru Property at Sunter Park View;6.0;15 reviews;;Rp 194,021
Pesona Guest House Jakarta;9.7;59 reviews;Exceptional;Rp 632,500
RedDoorz near Duta Merlin;7.7;9 reviews;Good;Rp 135,828
RedDoorz near Mall Of Indonesia;6.4;57 reviews;;Rp 145,530
OYO 842 Arafuru Residence Near Rs Duren Sawit;8.6;13 reviews;Fabulous;Rp 276,604
Jambrut Inn;6.7;20 reviews;;Rp 174,240
Everyday Smart Hotel Mangga Besar;6.8;50 reviews;;Rp 300,000
OYO 146 Menteng Residence;5.6;32 reviews;;Rp 189,724
RedDoorz Plus near Taman Ismail Marzuki;7.6;20 reviews;Good;Rp 228,375
Kalibata City by Pesona;5.2;4 reviews;;Rp 250,000
Arimbi Pejaten Suites Jakarta;6.8;14 reviews;;Rp 335,000
Urbanest Inn House Slipi;8.3;14 reviews;Very good;Rp 261,320
Kalibata City by Cemara;7.2;5 reviews;Good;Rp 250,000
OYO 3747 Comfort Residence;7.3;11 reviews;Good;Rp 237,100
OYO 909 Lauv Room Grand Centerpoint;7.6;14 reviews;Good;Rp 284,489
RedDoorz Premium @ Gandaria Jagakarsa;7.0;40 reviews;Good;Rp 210,949
RedDoorz near Plaza Atrium Senen;7.4;32 reviews;Good;Rp 153,648
RedDoorz @ Panglima Polim 2;7.4;26 reviews;Good;Rp 200,015
RedDoorz @ Jalan Biak Roxy Jakarta;6.7;29 reviews;;Rp 145,530
Marina Mediterania Ancol;5.6;3 reviews;;Rp 1,250,000
RedDoorz near Tomang 2;6.8;33 reviews;;Rp 176,715
RedDoorz Plus @ Cipete Damai;6.8;7 reviews;;Rp 207,270
OYO 181 Wisma Bintang;7.1;78 reviews;Good;Rp 147,991
The Mansion at Dukuh Golf Kemayoran  near to JExpo Kemayoran;8.3;7 reviews;Very good;Rp 675,000
Batavia Apartment ST;7.8;11 reviews;Good;Rp 1,246,600
Alfu Residence;9.0;146 reviews;Superb;Rp 188,000
Apartemen Sentra Timur by Cheapinn;7.3;3 reviews;Good;Rp 300,000
LeGreen Suite Poso n JICC;6.9;12 reviews;;Rp 277,500
RedDoorz near Plaza Senayan;7.0;3 reviews;Good;Rp 162,855
Bold Hotel Jakarta;8.2;21 reviews;Very good;Rp 214,200
OYO 160 Lontar Residence Near Bina Sehat Hospital Mandiri;6.4;26 reviews;;Rp 143,454
Hotel Rumah Shinta;7.7;40 reviews;Good;Rp 440,000
RedDoorz Premium @ Ampera Raya 2;6.7;35 reviews;;Rp 231,304
Syariah Mama Cengkareng @ Mutiara Palem;6.0;3 reviews;;Rp 139,920
VK Pods PIK;8.7;100 reviews;Fabulous;Rp 128,567
OYO 2223 J&b Room Utan Kayu Near Rumah Sakit Umum Daerah Matraman;7.6;20 reviews;Good;Rp 189,001
Roosseno Plaza Serviced Apartment;7.9;3 reviews;Good;Rp 679,150
Roomku at Bassura City Apartment;7.0;49 reviews;Good;Rp 317,250
RedDoorz Hostel near LTC Glodok;7.3;6 reviews;Good;Rp 144,525
Graha SUMSEL;7.8;74 reviews;Good;Rp 325,000
Topaz Guest House;8.4;10 reviews;Very good;Rp 302,500
Bobobox Pods Kota Tua;9.3;6 reviews;Superb;Rp 177,660
The Packer Lodge;8.9;457 reviews;Fabulous;Rp 222,750
RedDoorz @ Taman Bendungan Asahan;6.4;15 reviews;;Rp 134,927
RedDoorz @ Mangga Besar 2;8.4;11 reviews;Very good;Rp 149,325
OYO 3733 Guntur 40 Residence;6.5;4 reviews;;Rp 182,915
OYO 106 Sarkawi Residence;8.0;135 reviews;Very good;Rp 255,874
OYO 90141 3a Syariah;7.9;41 reviews;Good;Rp 147,512
2 Bed Room Amazing Sea View Condo 80sqm Fast Internet;8.4;8 reviews;Very good;Rp 572,000
RedDoorz @ Radio Dalam;8.6;15 reviews;Fabulous;Rp 189,486
BI Executive Hotel;8.2;156 reviews;Very good;Rp 595,000
OYO 387 Alfa Residence;7.3;57 reviews;Good;Rp 157,883
OYO 919 Hotel Kalisma Syariah Near RS Pelni;7.5;40 reviews;Good;Rp 205,516
ZEN Rooms Patra Kuningan Syariah;7.9;9 reviews;Good;Rp 440,440
RedDoorz near Cilandak Town Square;6.9;38 reviews;;Rp 197,159
OYO 1990 Kost Kuningan Executive Boading House Setiabudi Near MRCCC Siloam Hospitals Semanggi;8.3;13 reviews;Very good;Rp 209,959
Hotel Sanrina;6.7;63 reviews;;Rp 250,000
Kosenda Hotel;8.8;498 reviews;Fabulous;Rp 465,300
The Packer Lodge;8.9;457 reviews;Fabulous;Rp 222,750
Kamar Keluarga Tj Priok;7.4;3 reviews;Good;Rp 114,840
Reddoorz Plus @ Karet Pedurenan 3;7.2;29 reviews;Good;Rp 226,380
Wonderloft Hostel;8.8;1,120 reviews;Fabulous;Rp 234,000
Sudirman Park Apartment;8.5;26 reviews;Very good;Rp 593,000
OYO 779 Mn One Residence Near Rs Jakarta Islamic;7.3;9 reviews;Good;Rp 177,464
OYO 2256 Danysa Guesthouse Syariah;5.7;6 reviews;;Rp 130,475
RedDoorz @ Cilandak Barat;7.5;22 reviews;Good;Rp 240,151
OYO 501 Elpeka Dua Residence;7.4;45 reviews;Good;Rp 279,946
Taman sari Sudirman Studio Deluxe room A - Near MRT - Central Jakarta;6.5;5 reviews;;Rp 352,500
OYO 297 45 Residence Near RS Husada;7.3;17 reviews;Good;Rp 161,807
OYO 371 Kwitang Guest House;8.1;29 reviews;Very good;Rp 193,075
Shakti Hotel Jakarta;7.6;127 reviews;Good;Rp 285,000
Puri Jaya Hotel;5.5;6 reviews;;Rp 350,000
Strategic 1BR Casa Grande Apartment near Kota Kasablanka Mall By Travelio;4.5;3 reviews;;Rp 796,211
Spacious 2BR GP Plaza Apartment By Travelio;7.3;3 reviews;Good;Rp 808,689
Blue Sky Hotel Petamburan;6.9;24 reviews;;Rp 574,933
RedDoorz near Central Park Mall;7.6;23 reviews;Good;Rp 148,995
Premium Location 2BR Apartment @ FX Residence By Travelio;6.9;4 reviews;;Rp 1,088,598
Premium Location 2BR Apartment @ FX Residence By Travelio;6.9;4 reviews;;Rp 1,150,685
Wisma Gading Indah 1;5.7;15 reviews;;Rp 134,699
Liberty Hotel Thamrin Jakarta;8.5;300 reviews;Very good;Rp 517,750
Bed and Breakfast Tomang;9.4;139 reviews;Superb;Rp 188,000
LeGreen Home Setiabudi;6.4;18 reviews;;Rp 243,750
OYO 2547 Assirot Residence;3.2;3 reviews;;Rp 159,286
OYO 332 Residence G17 Kemang;6.2;48 reviews;;Rp 474,398
OYO 1199 Orienchi Room Near RSU Kecamatan Taman Sari;6.4;209 reviews;;Rp 160,344
Antoni Hotel;7.7;24 reviews;Good;Rp 285,000
OYO 3785 Kemayoran Residence;4.6;5 reviews;;Rp 167,889
Rumahku Hayam Wuruk;7.1;11 reviews;Good;Rp 120,000
OYO 141 Fatmawati Cozy Residence;6.7;36 reviews;;Rp 221,550
Kejora Homestay;7.8;22 reviews;Good;Rp 240,000
My Home by FLAT06;7.6;7 reviews;Good;Rp 250,000
KoolKost @ Tanjung Duren Utara;7.3;17 reviews;Good;Rp 187,500
ARCS House Blok M by Jambuluwuk;9.5;4 reviews;Exceptional;Rp 296,666
Apartemen cengkareng;4.8;6 reviews;;Rp 176,000
OYO 1082 Kost Arie 1;4.7;5 reviews;;Rp 186,141
OYO 298 Gemilang Guesthouse;8.0;20 reviews;Very good;Rp 182,841
OYO 180 Hotel Mirah;6.7;77 reviews;;Rp 214,286
OYO 123 Puri Lotus Near Siloam Hospitals TB Simatupang;6.9;56 reviews;;Rp 178,544
Rumah99;8.1;9 reviews;Very good;Rp 308,000
RedDoorz Syariah Plus near Pondok Indah Mall 2;7.0;21 reviews;Good;Rp 177,188
RedDoorz Plus near Semanggi;5.9;23 reviews;;Rp 183,454
Sun Rise House;7.9;10 reviews;Good;Rp 306,240
RedDoorz Plus near One Bell Park Avenue;8.6;4 reviews;Fabulous;Rp 193,875
Griya Prapanca Apartment;7.3;42 reviews;Good;Rp 554,400
Chic Quarter;8.6;23 reviews;Fabulous;Rp 382,800
RedDoorz Syariah near Siloam Hospital Kebon Jeruk;7.8;6 reviews;Good;Rp 159,944
Tator Hotel;6.1;28 reviews;;Rp 300,000
Wisma Lamida 2 Syariah;5.7;10 reviews;;Rp 128,378
OYO 2030 Melawai Homestay;6.0;3 reviews;;Rp 153,696
OYO 2122 Qubic;8.3;58 reviews;Very good;Rp 219,699
OYO 478 Balcon Biru;8.5;37 reviews;Very good;Rp 150,001
Env Room;7.9;5 reviews;Good;Rp 190,000
BI Executive Hotel Mangga Dua;7.8;16 reviews;Good;Rp 545,000
Mediterania palace residences kemayoran;7.2;8 reviews;Good;Rp 500,000
Sahati Hotel;6.9;19 reviews;;Rp 556,395
Hotel Nusantara Indah Syariah;7.0;35 reviews;Good;Rp 240,500
OYO 866 Idola Residence Near Rs Grha Kedoya;7.3;6 reviews;Good;Rp 192,755
OYO 1907 Pangrango Residence;7.9;12 reviews;Good;Rp 162,042
Marrakesh Inn;8.1;4 reviews;Very good;Rp 330,000
OYO 1524 D' Paseban Near RS St. Carolus;6.8;24 reviews;;Rp 169,207
OYO 1435 Residence 446;8.0;25 reviews;Very good;Rp 145,154
Sabrina Guest House;5.9;15 reviews;;Rp 241,071
OYO 281 Hotelo;6.6;11 reviews;;Rp 232,528
OYO 152 O2 Residence;6.5;66 reviews;;Rp 149,971
Singgahsini Haji Nawi Raya Jakarta Selatan;8.3;3 reviews;Very good;Rp 211,200
OYO 117 Blueberry Homestay;6.9;200 reviews;;Rp 137,281
Ninjas room cengkareng;6.5;6 reviews;;Rp 264,000
OYO 3754 Prosperity Mansion;3.6;4 reviews;;Rp 125,746
Borneo Hostel;5.0;7 reviews;;Rp 277,894
Oriental Residence Pasar Baru;6.7;16 reviews;;Rp 140,060
Mediterania Garden Residence 2;5.7;6 reviews;;Rp 564,000
