id;hotel_name;review_score
85123A;Yogyakarta Marriott Hotel;9.1
71053;Novotel Suites Yogyakarta Malioboro;8.5
84406B;Melia Purosani Yogyakarta;8.7
84029G;Sheraton Mustika Yogyakarta Resort and Spa;8.3
84029E;Amaris Hotel Malioboro - Jogja;7.8
22752;D'Senopati Malioboro Grand Hotel;8.0
21730;Ibis Malioboro;8.0
22633;Artotel Yogyakarta;8.5
22632;eL Hotel Royale Yogyakarta Malioboro;8.5
84879;Swiss-Belboutique Yogyakarta;9.0
22745;Horison Ultima Riss Malioboro Yogyakarta;8.3
22748;Hyatt Regency Yogyakarta;9.0
22749;Yellow Star Ambarukmo Hotel;8.0
22310;Grand Ambarrukmo Yogyakarta;9.2
84969;Greenhost Boutique Hotel Prawirotaman;8.9
22623;Hotel Dafam Fortuna Malioboro;8.4
22622;The Phoenix Hotel Yogyakarta - MGallery Collection;8.7
21754;PORTA by The Ambarrukmo;8.9
21755;ibis Styles Yogyakarta;8.0
21777;GAIA Cosmo Hotel;8.8
48187;Hotel Mawar Asri;7.5
22960;Novotel Yogyakarta;8.1
22913;The Jayakarta Yogyakarta Hotel & Spa;7.7
22912;Yellow Star Gejayan Hotel;8.0
22914;Grhatama Guest House;8.5
21756;Abhayagiri - SWH Resort;8.8
22728;THE 1O1 Yogyakarta Tugu;8.5
22727;The Jayakarta Yogyakarta Hotel & Spa;7.7
22726;Jambuluwuk Maliboro Hotel Yogyakarta;8.1
21724;MMUGM Hotel;8.1
21883;D'Kaliurang Resort & Convention Yogyakarta;8.2
10002;Adhisthana Hotel Yogyakarta;8.7
21791;Royal Ambarrukmo Yogyakarta;9.1
21035;Hotel Citradream Tugu Yogyakarta;7.7
22326;Merapi Merbabu Hotels & Resorts;7.4
22629;YATS Colony;8.5
22659;Grand Mercure Yogyakarta Adi Sucipto;8.3
22631;Grage Ramayana Hotel;7.5
22661;GRAND ASTON Hotel & Convention Center Yogyakarta;9.0
21731;Sahid Raya Hotel & Convention Yogyakarta;6.8
22900;Rivisha Hotel;8.5
21913;KJ Hotel Yogyakarta;8.4
22540;POP! Hotel Timoho Yogyakarta;7.9
22544;The Alana Yogyakarta Hotel and Convention Center;8.7
22492;OYO 1338 Hotel Sartika;6.0
POST;Sonosewu Guesthouse;8.2
22086;Grand Zuri Malioboro;8.1
22632;Pesonna Hotel Tugu Yogyakarta;8.6
22633;Satoria Hotel Yogyakarta;8.7
85123A;Horaios Malioboro Hotel;7.1
71053;PULANG ke UTTARA;8.8
84406B;Grand Inna Malioboro;8.1
20679;Cordela Kartika Dewi Yogyakarta;8.3
37370;Roemah Noni Macanan;8.9
21871;Crystal Lotus Hotel Yogyakarta;7.5
21071;Tjokro Style Yogyakarta;8.2
21068;Innside by Melia Yogyakarta;8.3
82483;Grand Keisha Yogyakarta;8.6
82486;Losmen Fadel;7.6
82482;Sunrise Hotel Jogja;6.8
82494L;Pesonna Hotel Malioboro Yogyakarta;8.3
84029G;ibis Yogyakarta Adi Sucipto;8.4
84029E;Grand Rohan Jogja;8.7
22752;Atrium Premiere Hotel Yogyakarta Ambarukmo;7.7
21730;Amaris Hotel Sagan - Jogja;7.6
21258;Griya Wijilan Syariah;8.8
85123A;Prime Plaza Hotel Jogjakarta;8.6
71053;Aveon Hotel Yogyakarta;7.9
84406B;OYO 890 Dewi Fortuna Residence;8.2
20679;Aveta Hotel Malioboro;7.8
37370;Hotel New Saphir Yogyakarta;7.7
21871;favehotel Kusumanegara;7.2
21071;Wonderloft Hostel Jogja;9.2
21068;Gallery Prawirotaman Hotel;8.8
82483;Eastparc Hotel Yogyakarta;9.0
82486;Aveon Hotel Yogyakarta;7.9
82482;Cakra Kembang Hotel;7.6
82494L;Wonderloft Hostel Jogja;9.2
84029G;Hotel Srikandi Baru;7.1
84029E;Sofia Boutique Residence;9.1
22752;Asana Grove Hotel Yogyakarta;8.3
21730;Ndalem Suryo Saptono Guest House;9.2
22114;apartement malioboro city bintang 3;6.8
21733;Hotel Arjuna;8.4
22632;Yabbiekayu Eco-Bungalows;9.3
22633;Grand Orchid Hotel Yogyakarta;6.8
22386;Jowo Kluthuk Heritage;5.7
85099C;Sunrise Hotel Jombor Jogja;6.5
21033;OYO 3787 Hotel Poncowinatan;8.4
20723;Villa Rosseno - Evelyn Private pool and Garden;9.5
84997B;The Atrium Hotel & Resort Yogyakarta;7.9
84997C;Chrissant Hotel;8.5
21094;Whiz Hotel Malioboro Yogyakarta;7.4
20725;Harper Malioboro Yogyakarta by ASTON;8.8
21559;Joglo Mandapa Boutique Hotel;8.6
22352;Hotel Unisi Yogyakarta Syariah;8.2
21212;D'Kayon Hotel Yogyakarta;8.5
21975;Hotel Winotosastro Garden;7.5
21977;Hotel Dafam Fortuna Seturan;7.6
84991;Residence Duksina 2 By SHM;8.3
84519A;Fam's Homestay by FH Stay;9.6
85183B;RedDoorz @ Plemburan Jakal 2;8.4
85071B;Hotel Santika Premiere Jogja;8.7
21931;All Nite & Day Hotel Yogjakarta - Gejayan;8.9
21929;Nextdoor Homestay;9.3
22961;The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON;8.4
22139;Alamanda Family Villas & Pool;9.3
84854;Prima In Hotel Malioboro;7.9
22411;OYO 1159 Bukit Indah Hotel & Restaurant Near RSUD Prambanan;7.8
82567;OYO 3726 Tembok Batu Residence;7.0
21672;ETHES Coworking - Coliving & Lounge;8.4
22774;Hotel Dafam Fortuna Seturan;7.6
22771;OYO 3819 Hotel Winotosastro;8.1
71270;Duta Guest House;8.2
22262;Platinum Adisucipto Hotel & Conference Center;8.7
22637;Puri Artha Hotel;8.3
21934;Griya Sentana Hotel;8.8
21169;The Cube Hotel;7.6
21166;Fernasya House;9.1
21175;Grand Tjokro Yogyakarta;7.4
37444A;OYO 1309 Hotel Shafira;7.1
37444C;Gita Benara;8.4
22086;Villa Anantya Private Pool;8.9
22083;RedDoorz Plus @ Taman Siswa 2;7.9
84971S;Platinum Adisucipto Hotel & Conference Center;8.7
71270;Omah Qu Guesthouse Malioboro;8.4
47580;Student Park Hotel;8.0
22261;UMAH D'KALI private villa for 2 to 12 guests;9.3
84832;Hotel Savitri Country;7.8
22644;Fernasya House;9.1
21533;Grand Tjokro Yogyakarta;7.4
21557;RedDoorz near XT Square 2;6.5
15056BL;OYO 3935 Artha Ambarukmo Exclusive;8.4
15056N;The Cabin Tugu Hostel;8.5
22646;Java Villas Boutique Hotel & Resto;9.0
22176;RedDoorz Syariah near Malioboro Mall;6.0
22438;Hotel Bakti;5.0
21731;Royal Darmo Malioboro;8.0
22778;The Sixth Room;9.5
22719;RedDoorz near Malioboro Mall 2;7.6
21523;Sartika Hotel Prawirotaman;8.3
D;Omah Teras Bata Guesthouse;9.1
10002;OYO 3945 Bale Tardian Syariah;7.9
21912;RedDoorz Plus @ Taman Siswa 3;7.8
21832;M Stay Guest House Jogja;8.8
22411;Omah Manis;9.0
22379;Omah Manis;9.0
22381;Laxston Hotel;7.7
22798;Madina Inn Hotel;9.1
22726;Uniq Hotel;7.3
22926;Delta Homestay;8.1
22839;Alam Jogja Resort;7.7
22838;Banana Homestay Prawirodirjan;8.1
22783;Tara Hotel Yogyakarta;8.0
35004C;Villa Blue Steps;9.3
82484;Grand Kangen Hotel Urip Sumoharjo;7.6
84755;City Stay Homestay Jogja;8.7
22464;Agung Inn;9.1
21324;Naima Jiwo;8.7
22457;Metro Malioboro Living;7.9
22469;Pojok Pas;8.7
22470;Rejeki Homestay Malioboro;7.3
22224;Grand Marto Hotel;8.4
21340;RedDoorz near Terminal Wates Kulon Progo;7.2
22189;Mitu Pugeran Homestay;8.3
22427;The Westlake Hotel & Resort Yogyakarta;8.6
22428;OYO 1046 Omah Pathok Near RS Ludira Husada Tama;9.1
22424;Hotel Olympic Jogja;7.6
22783;Kampung Lawasan Heritage Cottage;8.8
22961;de Laxston Hotel Jogja by AZANA;7.2
22960;Rosella Cottage - Homestay - Kitchen Yogyakarta;9.0
22663;Palem Kipas Homestay;9.5
85049A;OYO 90033 DeHome Family;9.4
22168;LPP Convention Hotel Demangan;7.3
22662;Arrayan Malioboro Syariah;8.4
84880;favehotel Malioboro - Yogyakarta;8.3
85099C;Sky Hotel;7.9
85099B;Bladok Hotel & Restaurant;8.4
79321;Trava House;9.3
22780;The Westlake Hotel & Resort Yogyakarta;8.6
22779;Safa Homestay;8.6
22466;Naima Jiwo;8.7
21731;Rabbani Family Homestay;8.9
21754;@HOM Premiere Timoho;8.5
21755;Grand Serela Yogyakarta by KAGUM Hotels;7.9
21523;Ros-In Hotel;7.4
21363;Pyrenees Jogja;7.5
21411;RedDoorz near Sleman City Hall 2;8.0
22318;Dipan Guest House Yogyakarta;9.2
22464;Hotel Heryon;7.2
22915;Hotel Heryon;7.2
22922;Emersia Malioboro Hotel;7.9
22969;Wisma Ary's;8.2
22923;Villa Bougenville;9.1
21115;Duta Boutique Villa;8.7
22469;Peti Mas Hotel;7.9
22242;Gowes House Yogyakarta - Malioboro;9.2
22941;Otu Hostel By Ostic;9.4
21622;RedDoorz near Gejayan 3;8.9
21791;RedDoorz near Jogja City Mall 4;8.4
35004C;Villa Sunset Jogjakarta;8.6
35004G;OYO 1473 Omah Tentrem Syariah;8.8
85014B;The LaWang Yogya;8.7
85014A;Allstay Hotel Yogyakarta;7.5
22193;Cavinton Hotel Yogyakarta by Tritama Hospitality;8.6
22726;Taman Yuwono Heritage Malioboro;8.5
22727;Andelis Homestay;9.0
22192;Full House at The Omah Alun Alun Kidul;8.8
22191;The Capsule Malioboro;8.4
22195;RedDoorz Plus @ Jalan Damai 2;6.8
22196;Srikandi Baru Inn;8.2
22941;RedDoorz @ Hotel Citra Indah;6.5
22960;Yogyakarta BnB;9.2
22961;Pandanaran Prawirotaman Yogyakarta;7.7
22962;University Club (UC) Hotel UGM;7.6
22963;Omah Njonja Bed & Brasserie;8.3
22968;RedDoorz Syariah near Taman Pelangi Monjali;8.7
84970S;Summer Season Boutique Hotel;6.4
22910;Homestay HD Inn;7.1
20668;OYO 1683 Hotel Musafira Syariah;8.0
85123A;Villa Kayu Yogyakarta;9.4
22197;Ayaartta Hotel Malioboro;8.3
22198;OYO Life 2348 Omah Lasaro Exclusive;7.8
21533;Paku Mas Hotel;8.4
21080;The LaWang Yogya;8.7
21094;Mi Casa Es Tu Casa;7.1
21086;The Cabin Hotel;7.9
21786;OYO 194 Hotel Sapta Gria Near RS Bethesda;7.6
22654;Argya Guesthouse;8.9
21485;Nariska Suite Homestay;9.1
84029G;OYO 417 Bama Guesthouse Near RSUP Dr Sardjito;7.9
84030E;Metro Guest House;7.3
22174;Manggar 3 Room - Mount View Apartment;8.1
22969;Grand Puri Saron Yogyakarta;8.0
85099B;Rosseno Villa;9.6
22556;OYO 2285 Art Guest House Syariah;8.8
21984;RedDoorz Plus near Alun Alun Selatan 2;7.9
21983;RedDoorz Plus near Gembira Loka Zoo 2;9.0
21980;SPOT ON 2419 Rumah Nugraha Hotel Syariah;5.2
21484;RedDoorz Plus near Stadion Mandala Krida;7.3
22557;RedDoorz Syariah near Taman Pelangi Monjali;8.7
22553;premier exclusive;8.8
22150;RedDoorz near Terminal A Adisucipto Airport;8.4
22619;OYO 611 The Edwin Syariah;9.0
21891;Ndalem Warungboto Homestay;8.4
21889;Ayaartta Hotel Malioboro;8.3
22827;Tembi Rumah Budaya;8.4
22127;OYO 2627 Ratamya Co-living;8.0
22128;Choerniadi Tomo Villa;9.2
22502;ABRAKADABRA! ARTBNB;9.2
84879;OYO 3267 Omah Suryo;8.2
22338;Ngomah Tentrem;9.5
22180;Unique Homestay 443;9.2
21506;OYO 3778 Hotel Wisnugraha Syariah;7.5
22633;OYO 804 Ndalem Maharani Residence;7.9
22866;OYO 3778 Hotel Wisnugraha Syariah;7.5
22865;OYO 804 Ndalem Maharani Residence;7.9
22632;Homestay / Guest House Dekat Malioboro;9.1
21485;Satya Graha;6.9
22349;RedDoorz Plus @ Prawirotaman Area;6.4
22558;OYO 3263 House 140;6.5
85152;Hotel Indah Palace Yogyakarta;8.1
85123A;Snooze;9.5
22652;Airlangga Hotel;7.7
22188;Rumah Panjaitan;8.7
84879;Hotel Kirana;8.4
21977;RedDoorz @ Seturan Raya;6.9
84991;Le Krasak Boutique Hotel;7.9
21212;Hotel Nugraha;7.4
21484;The Mangkoro by Yuwono Hospitality;8.8
21314;Pondok Sare;8.7
22730;RedDoorz near UMY Yogyakarta 2;7.9
22727;RedDoorz Syariah near Galeria Mall Yogyakarta;7.1
22729;RedDoorz Plus Syariah near Lempuyangan Station 3;7.1
22726;OYO 647 Irooms Residence;8.2
22114;OYO 594 Joglo Manggisan Syariah;8.8
22867;Posnya Seni Godod Art Gallery & Homestay;9.1
22866;Hotel Atalie Malioboro Manage By Yuwono Hospitality;7.4
85123A;OYO 594 Joglo Manggisan Syariah;8.8
71053;Posnya Seni Godod Art Gallery & Homestay;9.1
84406B;Hotel Atalie Malioboro Manage By Yuwono Hospitality;7.4
15056BL;Pawon Cokelat Guesthouse;8.0
20679;Wanderlust Homestay;7.4
37370;RedDoorz Plus @ Rumah Kandjani;9.0
21871;Villa Pohon;6.5
21071;RedDoorz @ Swakarya Kaliurang;7.1
21068;Jaya Homestay;8.7
82483;Ndalem Mantrijeron Hotel;8.6
82486;RedDoorz near Hartono Mall 3;7.1
82482;Bedhots Homestay;9.1
82494L;OYO 999 Garuda Guesthouse;7.8
84029G;RedDoorz Plus near STIE YKPN;8.1
84029E;Farmhouse Homestay Jogja;8.6
22752;Villa Mata Air;7.1
22803;Santai Sini Hostel;9.4
21730;Villa Mata Air;7.1
35004B;Santai Sini Hostel;9.4
35004C;KoolKost Female Syariah @ Gejayan Jogja;8.5
21980;Cabin Hotel Bhayangkara;8.1
21844;OYO 2347 Griya Patran Near RS Queen Latifa;6.9
22468;Laura's Backpacker 523;8.8
22637;Jiwanta Homestay;9.3
22752;La Javanaise Home Stay Malioboro;7.3
48185;RedDoorz near Pojok Beteng Yogyakarta;7.8
22632;Home Addicts Hostel;8.7
22866;OYO 2041 Griya Aneka;6.9
22865;RedDoorz Syariah near Gembira Loka Zoo;8.1
21232;Aloha Hotel Yogyakarta;9.3
22064;Griya Asih;9.3
22449;RedDoorz Plus @ Pogung Raya;7.7
22114;ArFe Room Apartemen Taman Melati Yogyakarta Sinduadi;7.2
22835;Malioboro Garden Hotel;6.8
22112;nDalem Natan Royal Heritage;7.5
21479;Simply Stay Homestay Jogja;7.4
22111;RedDoorz Plus near Jogja Kembali Monument;6.3
22632;RedDoorz near Candi Ratu Boko;6.5
22633;RedDoorz near Universitas Muhammadiyah Yogyakarta;7.8
22969;The Soemarsono Hotel;6.6
22110;RedDoorz @ Jalan Palagan;6.6
22098;Nugraha Residence;7.9
22100;OYO 2008 Sellinas Family ResidenceÃ‚ Near RSUP Dr Sardjito;7.7
22766;De Hostel Yogyakarta;8.9
22451;Rumah Mba Ayu;9.1
22549;Grand Omah Sastro;7.9
